word,ig_score
tired,1.1754991213480632
ga,0.9434544344743093
phone,0.7163866087794304
life,0.7106852114200592
give,0.6406449278195699
sleep,0.6385628879070282
good,0.5757794827222824
today,0.569687282666564
everyone,0.5630834400653839
nothing,0.5600838363170624
lt,0.5557539463043213
great,0.5539778545498848
day,0.5478854278723398
am,0.5382345725189556
comeback,0.5378268857796987
why,0.5375606864690781
help,0.5310757886618376
still,0.5249364271759986
under,0.5159747997919718
car,0.5126621685922146
keep,0.5089943210283915
time,0.5061292842030525
ha,0.4986746297641234
morning,0.492423290014267
around,0.49130910634994507
long,0.48946069677670795
ur,0.4859368234872818
wait,0.48434017300605775
see,0.48197735846042633
please,0.4763263128697872
wa,0.47622629006703693
broke,0.4759358949959278
later,0.4656165838241577
mutual,0.4608510931332906
fun,0.45880573987960815
yes,0.45727084825436276
re,0.45633240789175034
baby,0.4421154260635376
not,0.44195469431579115
nice,0.4332594523827235
at,0.4236281239069425
home,0.4103908936182658
up,0.40943853252313356
wan,0.4072445034980774
first,0.4067261144518852
ly,0.40564847985903424
ba,0.4050109287103017
afraid,0.4041130145390828
love,0.4030062139034271
go,0.4022414025205832
tracy,0.39955579737822217
let,0.39945959448814394
no,0.39933066282953533
mas,0.3978526368737221
though,0.39686306938529015
haven,0.3951071600119273
school,0.3917547861735026
just,0.3894247352145612
is,0.38749899944433797
little,0.38222059110800427
how,0.3820511158555746
work,0.38163965609338546
yu,0.3816278080145518
did,0.38053394357363385
er,0.3796518832445145
do,0.378735877159569
id,0.37805719176928204
again,0.37541757630450384
my,0.3749996344745159
should,0.373539666334788
here,0.3716914989054203
one,0.3695431786278884
me,0.3681893174846967
make,0.36440583169460294
all,0.3623022016356973
pretty,0.3593431133776903
father,0.3578038401901722
you,0.356374465442937
far,0.3560165961583455
out,0.35256119403574204
month,0.35172469168901443
best,0.3510184933741887
ve,0.35089547373354435
hot,0.35004723072052
in,0.3499681991644395
oh,0.3495417058467865
don,0.34932649440386077
too,0.3483884837478399
ll,0.34815435111522675
weather,0.3469790319601695
right,0.34667182713747025
everything,0.3464185322324435
now,0.34502617441690886
night,0.34439268708229065
off,0.3437063934074508
na,0.3413665980100632
care,0.34093691036105156
team,0.3383551885684331
talk,0.336333566904068
what,0.33398280505623135
follow,0.3335266833504041
hs,0.33324063817660016
of,0.3326329742981629
vi,0.3306330442428589
most,0.3288698320587476
lo,0.3287878781557083
does,0.3267861157655716
can,0.3267192236251301
thanks,0.32652000586191815
may,0.32519855350255966
this,0.32382993264631793
00,0.322991540034612
so,0.32226449996232986
year,0.3195292589565118
big,0.31738215312361717
on,0.3133254258760384
oo,0.3121992588043213
back,0.3111331903121688
never,0.3082234611113866
girl,0.30689492225646975
guy,0.3065338929494222
missing,0.30627964437007904
to,0.3057139425301084
going,0.3046572506427765
for,0.30221949799640757
boy,0.3006797631581624
thank,0.2989496923983097
had,0.29747413098812103
be,0.29698651904861134
forget,0.2955800503492355
get,0.2954300263753304
something,0.29499458223581315
the,0.2929536672216831
when,0.29125240859058166
able,0.2906394104162852
com,0.28979710340499876
it,0.28824114958282376
hi,0.28688058257102966
them,0.28680697580178577
started,0.285153329372406
even,0.2844712535540263
fan,0.28428030510743457
job,0.2839767287174861
from,0.28283725182215375
much,0.28113191787685665
saw,0.28085870544115704
an,0.28054214186138576
that,0.276738098969585
really,0.2759076346244131
working,0.27559460202852887
kind,0.275151068965594
any,0.27455324058731395
hope,0.2738916079203288
found,0.2732495715220769
we,0.2726796304709033
been,0.27183803686728847
know,0.2709174095229669
also,0.2692229896783829
was,0.26844044029712677
are,0.26715564681217074
free,0.2669305255015691
got,0.2661587031824248
like,0.2657371014356613
man,0.26431290805339813
there,0.2638820123213988
people,0.2633176346619924
say,0.26179878200803486
your,0.26140571633974713
bad,0.2606569205721219
money,0.2592129434148471
ie,0.2561585952838262
but,0.2555457412412292
cute,0.2542169652879238
were,0.24975851736962795
wish,0.2473568394780159
want,0.24700000509619713
desk,0.24529537558555603
feel,0.24422403424978256
without,0.24415959417819977
and,0.24395689616600671
they,0.24388601382573447
with,0.24313450728853545
or,0.24304082443316777
will,0.24302880752545136
wi,0.24292749166488647
have,0.2412203158373418
ers,0.24047154188156128
im,0.23887255787849426
anything,0.23830398172140121
dating,0.2364807315170765
him,0.23517814172165735
several,0.2347711573044459
doesn,0.23325291772683462
maybe,0.23317710310220718
only,0.23083394765853882
who,0.23064087011984416
he,0.22510513588786124
about,0.22449697414413095
un,0.2235634967684746
she,0.22259063486542022
while,0.22238057851791382
until,0.21883332431316377
her,0.21791954189538956
would,0.21563042380980083
brother,0.21372955292463303
if,0.21139020330849148
sk,0.2113603332212993
bit,0.21052811667323112
doing,0.21016103215515614
because,0.20552100893110037
by,0.20389477908611298
said,0.20319382548332215
has,0.2004491090774536
more,0.19901327043771744
as,0.19394022474686304
asked,0.19204278476536274
his,0.18905033047000566
their,0.18666175504525503
these,0.18641839921474457
relationship,0.1863437555730343
think,0.18531612306833267
different,0.1785171441733837
told,0.16744567453861237
through,0.1662486284971237
ago,0.16433419436216354
pay,0.14905120059847832
always,0.146026241282622
another,0.14386802911758423
download,0.1389439900716146
some,0.13610231379667917
myself,0.1338418498635292
support,0.13243328407406807
months,0.1282422188669443
internet,0.1264671335617701
